"","Mean","SE","CI25","CI975","Rhat","Bulk_ESS","Tail_ESS","Factor","Order"
"Intercept",-0.121581121595479,0.20251614360572,-0.547087623832511,0.2507888840004,1.00045303783913,24915,24851,"Intercept","Croatian postverbal"
"Len",1.24434340088988,0.240241839415901,0.801248741011941,1.74829471788625,1.00062993813713,51512,28132,"Len","Croatian postverbal"
"Semantic_closeness",-0.00362696472379699,0.170506500653358,-0.33870940332031,0.335606942076993,1.00044995467801,45086,27543,"Semantic_closeness","Croatian postverbal"
"Lexical_frequency",0.175846710748406,0.432357588918681,-0.681424855914518,1.02358158715505,1.00027973462581,35321,26211,"Lexical_frequency","Croatian postverbal"
"Predictability",0.758147466062828,0.431484666681157,-0.0811518266602092,1.61974377414561,1.00032528574548,41705,27933,"Predictability","Croatian postverbal"
"Pronominality",11.8092160493142,11.1747903919366,0.640008116440228,41.9136113859855,1.00115719799025,11039,6376,"Pronominality","Croatian postverbal"
