"","Mean","SE","CI25","CI975","Rhat","Bulk_ESS","Tail_ESS","Factor","Order"
"Intercept",-0.00288371418791798,0.021127311581147,-0.0436518114266774,0.0381857375564866,1.00092271684249,21059,15075,"Intercept","German preverbal"
"Len",0.0885479392220081,0.0188802879555723,0.0516866820560533,0.125431675656833,1.00101787815464,39425,13490,"Len","German preverbal"
"Semantic_closeness",0.595085668315596,0.0191068415725659,0.557791073476889,0.632807019700215,1.00044634955128,35057,13482,"Semantic_closeness","German preverbal"
"Lexical_frequency",-0.0393617958841638,0.0354650874140066,-0.116578286138894,0.0236937327610283,1.00153238657694,29180,12212,"Lexical_frequency","German preverbal"
"Predictability",-0.221819167724537,0.0160501328075117,-0.253059337393602,-0.191008463860706,1.00064811337356,39377,13593,"Predictability","German preverbal"
"Pronominality",2.00277987832034,0.0851803648450083,1.83783278539016,2.17039485826356,1.0012145067915,25858,13671,"Pronominality","German preverbal"
