"","Mean","SE","CI25","CI975","Rhat","Bulk_ESS","Tail_ESS","Factor","Order"
"Intercept",-13.49828120033,8.81223426764799,-35.3429111606555,-2.10860264791981,1.00123436833488,13471,12267,"Intercept","French preverbal"
"Len",-0.942363752860322,0.493902819517836,-2.02676587022913,-0.0838449197296108,1.00087651843199,35966,21487,"Len","French preverbal"
"Semantic_closeness",6.27148297588493,5.19979812094175,-1.04531172323503,18.8916523520157,1.00121078140709,13812,12586,"Semantic_closeness","French preverbal"
"Lexical_frequency",-6.03986815397521,6.25356683616774,-21.9643414887932,0.921958086546401,1.00096137786031,11450,9669,"Lexical_frequency","French preverbal"
"Predictability",-6.44968990847207,4.64438253696556,-18.2454540269049,-0.858667917898383,1.0010285915539,14502,13188,"Predictability","French preverbal"
"Pronominality",0.0949355969520403,1.76908276498634,-3.3766276643618,3.74847036887808,1.00039261000789,36692,21942,"Pronominality","French preverbal"
