"","Mean","SE","CI25","CI975","Rhat","Bulk_ESS","Tail_ESS","Factor","Order"
"Intercept",0.0307770148687557,0.0605250972812257,-0.0874931072742127,0.149919298223718,1.00048201278996,52997,30144,"Intercept","Russian postverbal"
"Len",1.80694950323668,0.106878027797877,1.60139411398046,2.02140897029123,1.00028546579178,59324,26463,"Len","Russian postverbal"
"Semantic_closeness",0.025971932112225,0.056677654428823,-0.0849658891098542,0.137174004227844,1.00083616395571,66575,25929,"Semantic_closeness","Russian postverbal"
"Lexical_frequency",-0.00912175084121966,0.0386972423174354,-0.0849562195340899,0.0670943396281075,1.0004133697214,74113,28376,"Lexical_frequency","Russian postverbal"
"Predictability",0.29269748047667,0.167632139892453,-0.0321638182008408,0.619390453140716,1.00022429799901,68774,27302,"Predictability","Russian postverbal"
"Pronominality",2.07414928638884,0.25385316909969,1.59859602467172,2.59016957154477,1.00098385867777,55272,27099,"Pronominality","Russian postverbal"
