"","Mean","SE","CI25","CI975","Rhat","Bulk_ESS","Tail_ESS","Factor","Order"
"Intercept",-0.167474568378185,0.0862369583201106,-0.341648290066545,-0.00165754401469592,1.00012828665094,34855,27946,"Intercept","English postverbal"
"Len",1.67983913280241,0.146939866980012,1.40191292882478,1.97774931135003,1.00012510307306,41539,27472,"Len","English postverbal"
"Semantic_closeness",0.557602662817659,0.07614825116502,0.410121567452657,0.708649359791244,1.00037244909475,54639,27456,"Semantic_closeness","English postverbal"
"Lexical_frequency",-0.112704224310204,0.0935562682959876,-0.322295878205271,0.0436949760449286,1.00020387577756,43634,23000,"Lexical_frequency","English postverbal"
"Predictability",-0.267686583979767,0.0934562785989054,-0.45500882886066,-0.0845046682259459,1.00021120204254,61269,26496,"Predictability","English postverbal"
"Pronominality",1.00396100324935,0.242562998928953,0.542762427752419,1.48913469192267,1.00042317268784,59763,26647,"Pronominality","English postverbal"
