"","Mean","SE","CI25","CI975","Rhat","Bulk_ESS","Tail_ESS","Factor","Order"
"Intercept",-0.140481528130578,0.422273872999929,-1.03957374795389,0.666763842142732,1.00091615888539,15890,12929,"Intercept","Bulgarian postverbal"
"Len",0.888779966813447,0.352636626747435,0.290382622364868,1.67574487780744,1.00092322684913,16686,15707,"Len","Bulgarian postverbal"
"Semantic_closeness",-0.23009612896201,0.357093882531954,-1.00253893221222,0.416897352611633,1.00107040062261,17441,14131,"Semantic_closeness","Bulgarian postverbal"
"Lexical_frequency",0.43907167647121,0.717156377614887,-0.791646278041287,2.06957716432727,1.00208076807349,11953,9093,"Lexical_frequency","Bulgarian postverbal"
"Predictability",-0.650439145488095,0.775934494045788,-2.31502896576559,0.780586240808477,1.00074968334098,22855,17697,"Predictability","Bulgarian postverbal"
"Pronominality",12.58339851838,11.1663607771619,1.09455415844206,41.114807140868,1.00181867156806,9017,5234,"Pronominality","Bulgarian postverbal"
