"","Mean","SE","CI25","CI975","Rhat","Bulk_ESS","Tail_ESS","Factor","Order"
"Intercept",-0.067888934960901,0.221365505784052,-0.507162209248938,0.362134533953514,1.00073505876101,42957,28128,"Intercept","Spanish preverbal"
"Len",-1.26048191910286,0.435004983550055,-2.18552238684423,-0.479105906360182,1.0007312759479,33340,22625,"Len","Spanish preverbal"
"Semantic_closeness",-0.292751918292018,0.203407667073659,-0.709186191207173,0.0925597789595003,1.00064845262228,35361,23996,"Semantic_closeness","Spanish preverbal"
"Lexical_frequency",0.893339163982123,2.30269829261462,-3.93621903681464,5.17448055800044,1.00079659064597,30606,26701,"Lexical_frequency","Spanish preverbal"
"Predictability",0.172324672799215,0.0685175328191916,0.0472491278476949,0.313659805298331,1.00086091663059,39587,25078,"Predictability","Spanish preverbal"
"Pronominality",2.93321217441021,0.967934914472248,1.2629364928429,5.05760566026185,1.00071475338693,30987,24079,"Pronominality","Spanish preverbal"
