"","Mean","SE","CI25","CI975","Rhat","Bulk_ESS","Tail_ESS","Factor","Order"
"Intercept",-0.0192434359970975,0.0626990520035802,-0.142645510581583,0.102610636295945,1.00020916430627,55278,27984,"Intercept","Russian preverbal"
"Len",0.446061561676798,0.0807882838618864,0.291722331308338,0.608818218199922,1.00027915622395,65442,27423,"Len","Russian preverbal"
"Semantic_closeness",0.0755878338027848,0.0563473621826141,-0.0354046289714285,0.186964124773635,1.00047107301994,63813,29173,"Semantic_closeness","Russian preverbal"
"Lexical_frequency",0.356244470009083,0.336815615711821,-0.13787739793824,1.16126105032391,1.00091393892055,42988,20785,"Lexical_frequency","Russian preverbal"
"Predictability",0.239057480412344,0.0428244287499249,0.156588042250191,0.324453825342589,1.00057209420763,65660,28432,"Predictability","Russian preverbal"
"Pronominality",1.02825300534518,0.133689973752464,0.769438825690828,1.29539911240498,1.00029614565582,55919,30184,"Pronominality","Russian preverbal"
