"","Mean","SE","CI25","CI975","Rhat","Bulk_ESS","Tail_ESS","Factor","Order"
"Intercept",-0.0824095608257024,0.145331803097386,-0.378363626555977,0.194269179970237,1.00057221522114,30546,24078,"Intercept","Dutch postverbal"
"Len",1.07628168374514,0.166251166627026,0.770871952317326,1.42213591839918,1.00095724605785,29694,24646,"Len","Dutch postverbal"
"Semantic_closeness",-0.359627555373381,0.125331661355039,-0.612673575780717,-0.118758467909079,1.00022135699159,41620,26052,"Semantic_closeness","Dutch postverbal"
"Lexical_frequency",-0.601564910173655,0.520441704654968,-1.89551489866445,0.0107715396645211,1.00035473944668,19413,16241,"Lexical_frequency","Dutch postverbal"
"Predictability",0.0716770354329492,0.19921501630843,-0.322258135895203,0.461906579791361,1.00057767426141,59320,26509,"Predictability","Dutch postverbal"
"Pronominality",0.237243190681728,0.653383618612983,-1.04688106399746,1.52601143671999,1.00076565592878,47203,28013,"Pronominality","Dutch postverbal"
