"","Mean","SE","CI25","CI975","Rhat","Bulk_ESS","Tail_ESS","Factor","Order"
"Intercept",0.031270047463681,0.830555046108244,-1.77158189896381,1.52022543979425,1.00120477150367,11445,10511,"Intercept","Persian preverbal"
"Len",0.402036129918768,0.26665345726036,-0.100146315141387,0.949874600001764,1.00070879856881,42399,25718,"Len","Persian preverbal"
"Semantic_closeness",0.1735205492554,0.435277944681982,-0.676818708633775,1.02456578700669,1.00058675077315,21771,24464,"Semantic_closeness","Persian preverbal"
"Lexical_frequency",-0.690262151064447,0.464874223818967,-1.66411787894193,0.16099247931782,1.00060386997585,21740,22612,"Lexical_frequency","Persian preverbal"
"Predictability",0.0631119032948,0.239496271209528,-0.412293479288162,0.534181731473278,1.00047365033262,39950,25562,"Predictability","Persian preverbal"
"Pronominality",-1.80683537666664,0.796906041145119,-3.47624456249756,-0.355523725980009,1.00040284976367,33100,24017,"Pronominality","Persian preverbal"
