"","Mean","SE","CI25","CI975","Rhat","Bulk_ESS","Tail_ESS","Factor","Order"
"Intercept",0.0720055625522775,0.261994918167936,-0.398068663548313,0.606507400735469,1.00260743303249,15234,8321,"Intercept","Croatian preverbal"
"Len",0.225270250226385,0.223287268281571,-0.20266156044483,0.679907426046517,1.00033209879948,27968,18474,"Len","Croatian preverbal"
"Semantic_closeness",-0.327317370943991,0.235390137106712,-0.828695705017786,0.0972939496189414,1.00146830301932,14735,10188,"Semantic_closeness","Croatian preverbal"
"Lexical_frequency",-0.60721859738462,0.308575973346215,-1.32958695940297,-0.175070281831893,1.00168167785183,7645,5411,"Lexical_frequency","Croatian preverbal"
"Predictability",0.0898107010414002,0.142154808604905,-0.165922114683485,0.396854795963437,1.00166302029741,14207,7746,"Predictability","Croatian preverbal"
"Pronominality",-0.816595999954744,1.19707491837566,-3.39070876690453,1.13255384017931,1.00194392651162,8400,4943,"Pronominality","Croatian preverbal"
