"","Mean","SE","CI25","CI975","Rhat","Bulk_ESS","Tail_ESS","Factor","Order"
"Intercept",-0.43320226850582,0.141967264108007,-0.719590115171676,-0.161812503869276,1.0003794298554,123304,68897,"Intercept","Dutch preverbal"
"Len",0.752138289753744,0.166078998522574,0.440339341864809,1.09170824008732,1.0004864280612,100985,64750,"Len","Dutch preverbal"
"Semantic_closeness",0.595483514766828,0.112403514404645,0.382344592262043,0.823171912237347,1.00012514985381,74403,63238,"Semantic_closeness","Dutch preverbal"
"Lexical_frequency",-12.9630160988351,3.1531593623601,-19.4911446982582,-7.12317515965897,1.00049595056544,144610,65660,"Lexical_frequency","Dutch preverbal"
"Predictability",-0.25542805625841,0.083444306743657,-0.422240587398209,-0.0958504144096846,1.00068969620274,127303,67527,"Predictability","Dutch preverbal"
"Pronominality",1.35699323422689,0.419063848255305,0.553477201055681,2.19911675808809,1.00059416405519,109965,69881,"Pronominality","Dutch preverbal"
