"","Mean","SE","CI25","CI975","Rhat","Bulk_ESS","Tail_ESS","Factor","Order"
"Intercept",-1.82671411101657,3.01877479151149,-9.04820352273975,3.43211939117246,1.00233281047719,8818,11277,"Intercept","English preverbal"
"Len",-4.36600906735139,4.10449446440883,-15.0292527372179,0.691803890966928,1.00199795576163,6113,7910,"Len","English preverbal"
"Semantic_closeness",0.532355671625382,1.66425924249276,-2.17259644750193,4.51387961172452,1.00146994652219,9454,9548,"Semantic_closeness","English preverbal"
"Lexical_frequency",7.51178758911712,6.84387909282256,-1.21119307543535,25.2571704731363,1.00116875140027,12587,10154,"Lexical_frequency","English preverbal"
"Pronominality",20.1314502753216,17.3375048248583,1.67687247390193,64.7993658688368,1.00360012438131,7376,4550,"Pronominality","English preverbal"
"Predictability",0.343047764672515,0.485603844154728,-0.34184011198494,1.5637042768477,1.00171190212858,9964,10698,"Predictability","English preverbal"
