"","Mean","SE","CI25","CI975","Rhat","Bulk_ESS","Tail_ESS","Factor","Order"
"Intercept",0.028421602895183,0.0420807248833385,-0.0546334615121698,0.110079424973349,1.00029270086816,12474,14851,"Intercept","German postverbal"
"Len",0.542982345439337,0.03269607813344,0.479935797617371,0.6074764087094,1.00084498365204,35973,12981,"Len","German postverbal"
"Semantic_closeness",-0.504891038094473,0.0287823779605408,-0.56152665729544,-0.448030948048466,1.0002117732902,36378,13213,"Semantic_closeness","German postverbal"
"Lexical_frequency",-0.00390997854462895,0.0227021133172339,-0.0527831675131975,0.0369933981979888,1.00090258467565,34462,10999,"Lexical_frequency","German postverbal"
"Predictability",0.216294650527109,0.0568782191230918,0.105410302638006,0.327047970965684,1.00077718024914,29138,13175,"Predictability","German postverbal"
"Pronominality",0.613068130799094,0.170104210231673,0.283891780356086,0.95122131823056,1.00079638421302,34060,14031,"Pronominality","German postverbal"
