"","Mean","SE","CI25","CI975","Rhat","Bulk_ESS","Tail_ESS","Factor","Order"
"Intercept",0.0426409791035332,0.0643506050235907,-0.0853410861022289,0.168237989994723,1.00027419442734,44248,29451,"Intercept","Italian postverbal"
"Len",2.67649624953502,0.14940860842284,2.39098107132725,2.97774549753269,1.00028519058875,56037,27999,"Len","Italian postverbal"
"Semantic_closeness",-0.204389882896978,0.0586075330982144,-0.319706108196172,-0.0896616702120544,1.00046671731736,61666,27585,"Semantic_closeness","Italian postverbal"
"Lexical_frequency",-0.0174895055929131,0.0483668095520626,-0.115636516208581,0.0756785182767214,1.00098112089183,62630,25472,"Lexical_frequency","Italian postverbal"
"Predictability",0.193915323411754,0.106998950517537,-0.0171382118166837,0.403372548087803,1.00073032583178,69327,28826,"Predictability","Italian postverbal"
"Pronominality",0.139536552850421,0.250702110015313,-0.349644605544091,0.627188939879953,1.00102894269804,75025,27756,"Pronominality","Italian postverbal"
